Date,Close
2015-11-02,1.91
2015-11-03,2.01
2015-11-04,1.97
2015-11-05,2.02
2015-11-06,2.03
2015-11-07,2.07
2015-11-08,2.14
2015-11-09,2.18
2015-11-10,2.32
2015-11-11,2.46
2015-11-12,2.37
2015-11-13,2.47
2015-11-14,2.3
2015-11-15,2.26
2015-11-16,2.26
2015-11-17,2.52
2015-11-18,2.72
2015-11-19,2.49
2015-11-20,2.63
2015-11-21,2.8
2015-11-22,2.93
2015-11-23,2.8
2015-11-24,2.79
2015-11-25,2.68
2015-11-26,2.79
2015-11-27,2.78
2015-11-28,2.86
2015-11-29,2.86
2015-11-30,2.85
2015-12-01,2.83
2015-12-02,2.83
2015-12-03,2.76
2015-12-04,2.8
2015-12-05,2.64
2015-12-06,2.74
2015-12-07,2.76
2015-12-08,2.81
2015-12-09,2.8
2015-12-10,2.72
2015-12-11,2.7
2015-12-12,2.76
2015-12-13,2.62
2015-12-14,2.7
2015-12-15,2.62
2015-12-16,3.99
2015-12-17,3.45
2015-12-18,3.66
2015-12-19,3.73
2015-12-20,3.61
2015-12-21,3.55
2015-12-22,3.74
2015-12-23,3.6
2015-12-24,3.6
2015-12-25,3.66
2015-12-26,3.68
2015-12-27,3.65
2015-12-28,3.64
2015-12-29,3.65
2015-12-30,3.59
2015-12-31,3.67
2016-01-01,3.79
2016-01-02,3.79
2016-01-03,3.84
2016-01-04,3.77
2016-01-05,3.87
2016-01-06,4.04
2016-01-07,4.2
2016-01-08,4.18
2016-01-09,4.35
2016-01-10,4.6
2016-01-11,4.57
2016-01-12,4.43
2016-01-13,4.24
2016-01-14,4.16
2016-01-15,4.47
2016-01-16,4.51
2016-01-17,4.46
2016-01-18,4.52
2016-01-19,4.32
2016-01-20,4.4
2016-01-21,4.39
2016-01-22,4.42
2016-01-23,4.75
2016-01-24,5.26
2016-01-25,5.1
2016-01-26,5.45
2016-01-27,5.02
2016-01-28,5.21
2016-01-29,4.88
2016-01-30,4.72
2016-01-31,5.12
2016-02-01,5.13
2016-02-02,5.14
2016-02-03,5.07
2016-02-04,4.96
2016-02-05,5.04
2016-02-06,5.02
2016-02-07,5.1
2016-02-08,5.01
2016-02-09,5.14
2016-02-10,5.09
2016-02-11,5.17
2016-02-12,5.14
2016-02-13,5.51
2016-02-14,5.41
2016-02-15,5.41
2016-02-16,5.22
2016-02-17,5.84
2016-02-18,6.7
2016-02-19,6.98
2016-02-20,6.85
2016-02-21,6.82
2016-02-22,6.86
2016-02-23,6.64
2016-02-24,6.26
2016-02-25,6.3
2016-02-26,6.47
2016-02-27,6.61
2016-02-28,6.68
2016-02-29,6.6
2016-03-01,6.49
2016-03-02,6.58
2016-03-03,6.73
2016-03-04,6.95
2016-03-05,6.78
2016-03-06,6.68
2016-03-07,7.04
2016-03-08,7.62
